Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1974,14090,14135,14152,14191,14221,14239,14288,14328,14422,14484,14532,14559
1975,14624,14747,14754,14795,14827,14784,14861,14870,14824,14900,14903,14946
1976,14969,14981,14987,14985,14971,14963,14993,15007,14971,15028,15073,15075
1977,15056,15056,15050,15075,15132,15207,15299,15328,15403,15463,15515,15538
1978,15611,15671,15731,15797,15834,15852,15901,15891,15819,15858,15894,15911
1979,15937,15947,15956,15977,15990,16045,16150,16229,16128,16136,16173,16180
1980,16201,16226,16296,16583,16454,16441,16418,16410,16330,16386,16391,16373
1981,16360,16346,16292,16260,16198,16159,16175,16110,16031,16069,16078,16073
1982,16041,16011,16024,16010,16003,16016,15890,15930,15923,15956,15977,15981
1983,16023,16004,16005,15990,16005,16020,16011,16016,16042,15986,15997,16008
1984,16010,16025,16030,16075,16103,16127,16172,16224,16255,16274,16311,16282
1985,16336,16349,16395,16430,16474,16498,16620,16619,16638,16654,16674,16694
1986,16715,16759,16755,16765,16790,16779,16779,16800,16910,16969,17005,17021
1987,17045,17036,17064,17109,17112,17124,17160,17172,17135,17269,17299,17347
1988,17365,17389,17447,17452,17481,17515,17494,17544,17634,17670,17746,17736
1989,17774,17812,17822,17840,17876,17912,17905,17989,18027,18033,18057,18075
1990,18151,18177,18294,18377,18599,18556,18560,18457,18437,18443,18450,18468
1991,18474,18482,18488,18485,18498,18561,18598,18567,18543,18593,18627,18641
1992,18688,18689,18715,18739,18753,18762,18817,18883,18829,18828,18841,18878
1993,18901,18902,18907,18938,18951,18969,19060,19028,19041,19042,19068,19109
1994,19147,19150,19190,19223,19264,19274,19301,19306,19337,19344,19367,19388
1995,19397,19407,19427,19434,19418,19445,19437,19429,19430,19464,19463,19466
1996,19450,19485,19532,19515,19529,19528,19547,19504,19567,19554,19565,19571
1997,19593,19598,19608,19603,19601,19660,19686,19617,19679,19738,19761,19766
1998,19770,19786,19792,19816,19875,19879,19930,19959,19985,20001,20044,20079
1999,20084,20144,20168,20237,20229,20272,20339,20375,20404,20457,20496,20540
2000,20571,20599,20733,20802,21147,20887,20867,20837,20735,20743,20760,20804
2001,20835,20906,20945,20992,21029,21137,21185,21218,21242,21275,21326,21355
2002,21377,21390,21431,21443,21514,21549,21544,21589,21546,21559,21581,21588
2003,21626,21624,21610,21595,21567,21606,21633,21556,21504,21558,21535,21546
2004,21538,21550,21588,21614,21614,21601,21606,21626,21635,21656,21692,21693
2005,21735,21744,21740,21754,21781,21763,21857,21863,21845,21829,21859,21879
2006,21847,21878,21903,21919,21926,21922,21973,22011,22082,22068,22083,22088
2007,22095,22131,22149,22175,22193,22207,22171,22226,22279,22297,22334,22376
2008,22388,22417,22443,22450,22483,22517,22568,22567,22537,22549,22560,22556
2009,22579,22576,22560,22677,22617,22576,22521,22537,22451,22524,22533,22482
2010,22491,22476,22518,22569,22996,22740,22569,22420,22247,22297,22287,22266
2011,22258,22215,22192,22184,22129,22164,22049,22017,21983,21998,21971,21954
2012,21946,21947,21943,21931,21911,21930,21913,21916,21925,21903,21883,21887
2013,21869,21881,21870,21869,21864,21840,21815,21831,21835,21830,21843,21820
2014,21814,21825,21833,21853,21832,21895,21901,21855,21897,21917,21932,21947
2015,21960,21978,21970,22005,22012,22015,22050,22060,22040,22056,22081,22097
2016,22114,22138,22178,22184,22199,22180,22289,22284,22323,22295,22277,22304
2017,22308,22320,22325,22338,22334,22343,22363,22371,22386,22374,22389,22395
2018,22364,22397,22403,22420,22432,22457,22464,22485,22494,22494,22477,22516
2019,22517,22497,22524,22563,22556,22562,22607,22663,22690,22692,22716,22729
2020,22789,22835,22774,21826,21314,21353,21556,22073,21857,21583,21488,21465
